"town","tests_total","tests_pos","dt","tests_posn"
"Whately",97,"0",2020-11-05,0
"Whitman",1077,"45",2020-11-05,45
"Wilbraham",2445,"27",2020-11-05,27
"Williamsburg",313,"0",2020-11-05,0
"Williamstown",6638,"<5",2020-11-05,2
"Wilmington",1922,"44",2020-11-05,44
"Winchendon",758,"8",2020-11-05,8
"Winchester",2750,"49",2020-11-05,49
"Windsor",37,"0",2020-11-05,0
"Winthrop",4619,"146",2020-11-05,146
"Woburn",3641,"84",2020-11-05,84
"Worcester",39321,"429",2020-11-05,429
"Worthington",70,"0",2020-11-05,0
"Wrentham",1454,"23",2020-11-05,23
"Yarmouth",1242,"17",2020-11-05,17
"Unknown",13487,"44",2020-11-05,44
"State",961864,"14944",2020-11-05,14944
