"town","tests_total","tests_pos","dt","tests_posn"
"Newburyport",892,"5",2020-09-02,5
"Newton",13929,"35",2020-09-02,35
"Norfolk",467,"<5",2020-09-02,2
"North Adams",855,"5",2020-09-02,5
"North Andover",5902,"11",2020-09-02,11
"North Attleborough",1041,"14",2020-09-02,14
"North Brookfield",215,"<5",2020-09-02,2
"North Reading",914,"7",2020-09-02,7
"Northampton",2535,"7",2020-09-02,7
"Northborough",716,"<5",2020-09-02,2
"Northbridge",624,"10",2020-09-02,10
"Northfield",206,"0",2020-09-02,0
"Norton",4258,"<5",2020-09-02,2
"Norwell",539,"5",2020-09-02,5
"Norwood",1486,"28",2020-09-02,28
"Oak Bluffs",306,"<5",2020-09-02,2
"Oakham",89,"0",2020-09-02,0
"Orange",354,"5",2020-09-02,5
"Orleans",175,"0",2020-09-02,0
"Otis",53,"0",2020-09-02,0
"Oxford",593,"5",2020-09-02,5
"Palmer",519,"<5",2020-09-02,2
"Paxton",1520,"<5",2020-09-02,2
"Peabody",2767,"40",2020-09-02,40
"Pelham",31,"0",2020-09-02,0
"Pembroke",624,"5",2020-09-02,5
"Pepperell",442,"<5",2020-09-02,2
"Peru",14,"0",2020-09-02,0
"Petersham",42,"0",2020-09-02,0
"Phillipston",54,"<5",2020-09-02,2
"Pittsfield",1685,"11",2020-09-02,11
"Plainfield",33,"0",2020-09-02,0
"Plainville",333,"<5",2020-09-02,2
"Plymouth",2294,"31",2020-09-02,31
"Plympton",95,"<5",2020-09-02,2
"Princeton",190,"0",2020-09-02,0
"Provincetown",182,"0",2020-09-02,0
"Quincy",4638,"38",2020-09-02,38
"Randolph",1779,"18",2020-09-02,18
"Raynham",568,"<5",2020-09-02,2
"Reading",1371,"11",2020-09-02,11
"Rehoboth",346,"<5",2020-09-02,2
"Revere",3964,"178",2020-09-02,178
"Richmond",51,"0",2020-09-02,0
"Rochester",177,"0",2020-09-02,0
"Rockland",584,"5",2020-09-02,5
"Rockport",229,"<5",2020-09-02,2
"Rowe",15,"0",2020-09-02,0
"Rowley",401,"0",2020-09-02,0
"Royalston",28,"0",2020-09-02,0
"Russell",57,"<5",2020-09-02,2
"Rutland",481,"<5",2020-09-02,2
"Salem",4087,"31",2020-09-02,31
"Salisbury",348,"<5",2020-09-02,2
"Sandisfield",57,"0",2020-09-02,0
"Sandwich",543,"<5",2020-09-02,2
"Saugus",1550,"25",2020-09-02,25
"Savoy",15,"0",2020-09-02,0
"Scituate",836,"8",2020-09-02,8
"Seekonk",403,"10",2020-09-02,10
"Sharon",981,"0",2020-09-02,0
"Sheffield",256,"0",2020-09-02,0
"Shelburne",160,"<5",2020-09-02,2
"Sherborn",217,"<5",2020-09-02,2
"Shirley",244,"0",2020-09-02,0
"Shrewsbury",2033,"9",2020-09-02,9
"Shutesbury",142,"0",2020-09-02,0
"Somerset",649,"6",2020-09-02,6
"Somerville",8581,"62",2020-09-02,62
"South Hadley",1649,"9",2020-09-02,9
"Southampton",327,"<5",2020-09-02,2
"Southborough",515,"<5",2020-09-02,2
"Southbridge",872,"<5",2020-09-02,2
"Southwick",380,"6",2020-09-02,6
"Spencer",579,"7",2020-09-02,7
"Springfield",9374,"56",2020-09-02,56
"Sterling",408,"<5",2020-09-02,2
"Stockbridge",86,"0",2020-09-02,0
"Stoneham",1159,"6",2020-09-02,6
"Stoughton",1212,"7",2020-09-02,7
"Stow",427,"0",2020-09-02,0
"Sturbridge",496,"<5",2020-09-02,2
"Sudbury",890,"<5",2020-09-02,2
"Sunderland",893,"0",2020-09-02,0
"Sutton",467,"9",2020-09-02,9
"Swampscott",713,"10",2020-09-02,10
"Swansea",613,"17",2020-09-02,17
"Taunton",2482,"23",2020-09-02,23
"Templeton",373,"<5",2020-09-02,2
"Tewksbury",1610,"9",2020-09-02,9
"Tisbury",505,"<5",2020-09-02,2
"Tolland",6,"0",2020-09-02,0
"Topsfield",368,"0",2020-09-02,0
"Townsend",374,"<5",2020-09-02,2
"Truro",131,"0",2020-09-02,0
"Tyngsborough",508,"6",2020-09-02,6
"Tyringham",17,"0",2020-09-02,0
"Upton",337,"0",2020-09-02,0
"Uxbridge",546,"0",2020-09-02,0
"Wakefield",1307,"<5",2020-09-02,2
"Wales",76,"0",2020-09-02,0
"Walpole",1354,"6",2020-09-02,6
"Waltham",7491,"45",2020-09-02,45
"Ware",477,"<5",2020-09-02,2
"Wareham",640,"6",2020-09-02,6
"Warren",180,"<5",2020-09-02,2
"Warwick",32,"0",2020-09-02,0
"Washington",12,"0",2020-09-02,0
"Watertown",2094,"10",2020-09-02,10
"Wayland",803,"0",2020-09-02,0
"Webster",871,"<5",2020-09-02,2
"Wellesley",6792,"9",2020-09-02,9
"Wellfleet",75,"<5",2020-09-02,2
"Wendell",64,"0",2020-09-02,0
"Wenham",1458,"<5",2020-09-02,2
"West Boylston",348,"0",2020-09-02,0
"West Bridgewater",389,"6",2020-09-02,6
"West Brookfield",250,"0",2020-09-02,0
"West Newbury",217,"<5",2020-09-02,2
"West Springfield",1160,"11",2020-09-02,11
"West Stockbridge",82,"0",2020-09-02,0
"West Tisbury",202,"<5",2020-09-02,2
"Westborough",1032,"7",2020-09-02,7
"Westfield",1681,"11",2020-09-02,11
"Westford",1102,"9",2020-09-02,9
"Westhampton",47,"5",2020-09-02,5
"Westminster",329,"<5",2020-09-02,2
"Weston",839,"<5",2020-09-02,2
"Westport",660,"14",2020-09-02,14
"Westwood",965,"11",2020-09-02,11
"Weymouth",2174,"23",2020-09-02,23
"Whately",44,"0",2020-09-02,0
"Whitman",507,"<5",2020-09-02,2
"Wilbraham",1344,"8",2020-09-02,8
"Williamsburg",218,"<5",2020-09-02,2
"Williamstown",1953,"<5",2020-09-02,2
"Wilmington",960,"10",2020-09-02,10
"Winchendon",410,"0",2020-09-02,0
"Winchester",1409,"<5",2020-09-02,2
"Windsor",33,"0",2020-09-02,0
"Winthrop",1924,"22",2020-09-02,22
"Woburn",2048,"14",2020-09-02,14
"Worcester",25949,"157",2020-09-02,157
"Worthington",52,"0",2020-09-02,0
"Wrentham",603,"<5",2020-09-02,2
"Yarmouth",687,"<5",2020-09-02,2
"Unknown",10742,"74",2020-09-02,74
"State",470762,"4138",2020-09-02,4138
