"town","tests_total","tests_pos","dt","tests_posn"
"Newburyport",1523,"7",2020-10-07,7
"Newton",21547,"33",2020-10-07,33
"Norfolk",598,"<5",2020-10-07,2
"North Adams",1619,"<5",2020-10-07,2
"North Andover",9889,"146",2020-10-07,146
"North Attleborough",1483,"13",2020-10-07,13
"North Brookfield",231,"0",2020-10-07,0
"North Reading",1186,"14",2020-10-07,14
"Northampton",4289,"<5",2020-10-07,2
"Northborough",1160,"10",2020-10-07,10
"Northbridge",1094,"10",2020-10-07,10
"Northfield",225,"0",2020-10-07,0
"Norton",5742,"14",2020-10-07,14
"Norwell",766,"<5",2020-10-07,2
"Norwood",2422,"16",2020-10-07,16
"Oak Bluffs",240,"0",2020-10-07,0
"Oakham",91,"0",2020-10-07,0
"Orange",440,"0",2020-10-07,0
"Orleans",205,"<5",2020-10-07,2
"Otis",59,"0",2020-10-07,0
"Oxford",766,"9",2020-10-07,9
"Palmer",651,"7",2020-10-07,7
"Paxton",1940,"<5",2020-10-07,2
"Peabody",3648,"43",2020-10-07,43
"Pelham",39,"0",2020-10-07,0
"Pembroke",903,"17",2020-10-07,17
"Pepperell",572,"<5",2020-10-07,2
"Peru",14,"0",2020-10-07,0
"Petersham",72,"0",2020-10-07,0
"Phillipston",63,"0",2020-10-07,0
"Pittsfield",2475,"<5",2020-10-07,2
"Plainfield",30,"0",2020-10-07,0
"Plainville",518,"<5",2020-10-07,2
"Plymouth",3160,"81",2020-10-07,81
"Plympton",129,"<5",2020-10-07,2
"Princeton",274,"<5",2020-10-07,2
"Provincetown",111,"<5",2020-10-07,2
"Quincy",7231,"85",2020-10-07,85
"Randolph",2479,"41",2020-10-07,41
"Raynham",903,"15",2020-10-07,15
"Reading",1879,"12",2020-10-07,12
"Rehoboth",502,"8",2020-10-07,8
"Revere",5625,"152",2020-10-07,152
"Richmond",68,"<5",2020-10-07,2
"Rochester",271,"<5",2020-10-07,2
"Rockland",864,"15",2020-10-07,15
"Rockport",321,"<5",2020-10-07,2
"Rowe",19,"0",2020-10-07,0
"Rowley",344,"<5",2020-10-07,2
"Royalston",58,"0",2020-10-07,0
"Russell",83,"0",2020-10-07,0
"Rutland",652,"<5",2020-10-07,2
"Salem",4049,"40",2020-10-07,40
"Salisbury",408,"5",2020-10-07,5
"Sandisfield",57,"<5",2020-10-07,2
"Sandwich",1058,"16",2020-10-07,16
"Saugus",2454,"30",2020-10-07,30
"Savoy",27,"0",2020-10-07,0
"Scituate",1162,"13",2020-10-07,13
"Seekonk",560,"11",2020-10-07,11
"Sharon",1453,"9",2020-10-07,9
"Sheffield",742,"<5",2020-10-07,2
"Shelburne",246,"0",2020-10-07,0
"Sherborn",314,"<5",2020-10-07,2
"Shirley",402,"<5",2020-10-07,2
"Shrewsbury",3127,"31",2020-10-07,31
"Shutesbury",154,"0",2020-10-07,0
"Somerset",817,"9",2020-10-07,9
"Somerville",22965,"65",2020-10-07,65
"South Hadley",2002,"8",2020-10-07,8
"Southampton",413,"<5",2020-10-07,2
"Southborough",1665,"18",2020-10-07,18
"Southbridge",1011,"21",2020-10-07,21
"Southwick",458,"<5",2020-10-07,2
"Spencer",756,"11",2020-10-07,11
"Springfield",12514,"324",2020-10-07,324
"Sterling",608,"<5",2020-10-07,2
"Stockbridge",91,"0",2020-10-07,0
"Stoneham",1942,"13",2020-10-07,13
"Stoughton",1849,"27",2020-10-07,27
"Stow",487,"<5",2020-10-07,2
"Sturbridge",581,"<5",2020-10-07,2
"Sudbury",1289,"5",2020-10-07,5
"Sunderland",1552,"11",2020-10-07,11
"Sutton",606,"<5",2020-10-07,2
"Swampscott",1167,"<5",2020-10-07,2
"Swansea",738,"7",2020-10-07,7
"Taunton",3296,"51",2020-10-07,51
"Templeton",386,"<5",2020-10-07,2
"Tewksbury",2671,"34",2020-10-07,34
"Tisbury",490,"0",2020-10-07,0
"Tolland",5,"0",2020-10-07,0
"Topsfield",506,"<5",2020-10-07,2
"Townsend",445,"<5",2020-10-07,2
"Truro",46,"<5",2020-10-07,2
"Tyngsborough",720,"10",2020-10-07,10
"Tyringham",19,"0",2020-10-07,0
"Upton",443,"<5",2020-10-07,2
"Uxbridge",739,"14",2020-10-07,14
"Wakefield",2153,"13",2020-10-07,13
"Wales",73,"0",2020-10-07,0
"Walpole",1982,"27",2020-10-07,27
"Waltham",17431,"86",2020-10-07,86
"Ware",628,"<5",2020-10-07,2
"Wareham",955,"16",2020-10-07,16
"Warren",221,"<5",2020-10-07,2
"Warwick",31,"0",2020-10-07,0
"Washington",14,"0",2020-10-07,0
"Watertown",3484,"15",2020-10-07,15
"Wayland",1171,"<5",2020-10-07,2
