"town","tests_total","tests_pos","dt","tests_posn"
"New Marlborough",64,"7",2020-06-24,7
"New Salem",65,"<5",2020-06-24,2
"Newbury",483,"13",2020-06-24,13
"Newburyport",2008,"97",2020-06-24,97
"Newton",8536,"767",2020-06-24,767
"Norfolk",1764,"27",2020-06-24,27
"North Adams",855,"46",2020-06-24,46
"North Andover",3535,"340",2020-06-24,340
"North Attleborough",2223,"252",2020-06-24,252
"North Brookfield",297,"16",2020-06-24,16
"North Reading",1269,"187",2020-06-24,187
"Northampton",3120,"273",2020-06-24,273
"Northborough",1516,"223",2020-06-24,223
"Northbridge",1837,"311",2020-06-24,311
"Northfield",183,"<5",2020-06-24,2
"Norton",1613,"133",2020-06-24,133
"Norwell",891,"121",2020-06-24,121
"Norwood",3852,"576",2020-06-24,576
"Oak Bluffs",507,"5",2020-06-24,5
"Oakham",127,"7",2020-06-24,7
"Orange",719,"40",2020-06-24,40
"Orleans",462,"16",2020-06-24,16
"Otis",94,"<5",2020-06-24,2
"Oxford",1039,"80",2020-06-24,80
"Palmer",862,"48",2020-06-24,48
"Paxton",352,"33",2020-06-24,33
"Peabody",6028,"976",2020-06-24,976
"Pelham",87,"<5",2020-06-24,2
"Pembroke",1385,"92",2020-06-24,92
"Pepperell",746,"52",2020-06-24,52
"Peru",52,"<5",2020-06-24,2
"Petersham",110,"7",2020-06-24,7
"Phillipston",133,"15",2020-06-24,15
"Pittsfield",4548,"174",2020-06-24,174
"Plainfield",38,"<5",2020-06-24,2
"Plainville",731,"64",2020-06-24,64
"Plymouth",6120,"598",2020-06-24,598
"Plympton",208,"11",2020-06-24,11
"Princeton",260,"6",2020-06-24,6
"Provincetown",604,"22",2020-06-24,22
"Quincy",9855,"1129",2020-06-24,1129
"Randolph",4898,"942",2020-06-24,942
"Raynham",1638,"238",2020-06-24,238
"Reading",2488,"296",2020-06-24,296
"Rehoboth",806,"62",2020-06-24,62
"Revere",7812,"1748",2020-06-24,1748
"Richmond",81,"5",2020-06-24,5
"Rochester",465,"34",2020-06-24,34
"Rockland",1870,"283",2020-06-24,283
"Rockport",525,"82",2020-06-24,82
"Rowe",20,"0",2020-06-24,0
"Rowley",580,"58",2020-06-24,58
"Royalston",77,"<5",2020-06-24,2
"Russell",100,"11",2020-06-24,11
"Rutland",664,"53",2020-06-24,53
"Salem",4833,"625",2020-06-24,625
"Salisbury",733,"52",2020-06-24,52
"Sandisfield",136,"<5",2020-06-24,2
"Sandwich",1438,"94",2020-06-24,94
"Saugus",3434,"556",2020-06-24,556
"Savoy",34,"<5",2020-06-24,2
"Scituate",1485,"186",2020-06-24,186
"Seekonk",944,"82",2020-06-24,82
"Sharon",1501,"154",2020-06-24,154
"Sheffield",212,"15",2020-06-24,15
"Shelburne",284,"8",2020-06-24,8
"Sherborn",255,"14",2020-06-24,14
"Shirley",2392,"177",2020-06-24,177
"Shrewsbury",3362,"317",2020-06-24,317
"Shutesbury",101,"<5",2020-06-24,2
"Somerset",2428,"201",2020-06-24,201
"Somerville",12217,"951",2020-06-24,951
"South Hadley",1178,"144",2020-06-24,144
"Southampton",379,"30",2020-06-24,30
"Southborough",743,"41",2020-06-24,41
"Southbridge",1131,"163",2020-06-24,163
"Southwick",684,"51",2020-06-24,51
"Spencer",876,"49",2020-06-24,49
"Springfield",16043,"2754",2020-06-24,2754
"Sterling",788,"120",2020-06-24,120
"Stockbridge",175,"14",2020-06-24,14
"Stoneham",2826,"374",2020-06-24,374
"Stoughton",3525,"602",2020-06-24,602
"Stow",472,"27",2020-06-24,27
"Sturbridge",482,"42",2020-06-24,42
"Sudbury",1634,"197",2020-06-24,197
"Sunderland",221,"9",2020-06-24,9
"Sutton",619,"50",2020-06-24,50
"Swampscott",1653,"128",2020-06-24,128
"Swansea",1732,"133",2020-06-24,133
"Taunton",6945,"964",2020-06-24,964
"Templeton",890,"122",2020-06-24,122
"Tewksbury",3944,"582",2020-06-24,582
"Tisbury",811,"8",2020-06-24,8
"Tolland",9,"<5",2020-06-24,2
"Topsfield",634,"114",2020-06-24,114
"Townsend",672,"35",2020-06-24,35
"Truro",198,"10",2020-06-24,10
"Tyngsborough",1154,"92",2020-06-24,92
"Tyringham",23,"<5",2020-06-24,2
"Upton",462,"24",2020-06-24,24
"Uxbridge",1022,"77",2020-06-24,77
"Wakefield",3162,"313",2020-06-24,313
"Wales",94,"<5",2020-06-24,2
"Walpole",2708,"232",2020-06-24,232
"Waltham",6624,"1227",2020-06-24,1227
"Ware",703,"31",2020-06-24,31
"Wareham",2324,"211",2020-06-24,211
"Warren",269,"22",2020-06-24,22
"Warwick",48,"0",2020-06-24,0
"Washington",29,"<5",2020-06-24,2
"Watertown",3325,"388",2020-06-24,388
"Wayland",1205,"106",2020-06-24,106
"Webster",1976,"248",2020-06-24,248
"Wellesley",2127,"232",2020-06-24,232
"Wellfleet",251,"<5",2020-06-24,2
"Wendell",60,"0",2020-06-24,0
"Wenham",253,"19",2020-06-24,19
"West Boylston",759,"43",2020-06-24,43
"West Bridgewater",807,"142",2020-06-24,142
"West Brookfield",439,"19",2020-06-24,19
"West Newbury",282,"10",2020-06-24,10
"West Springfield",2686,"362",2020-06-24,362
"West Stockbridge",93,"5",2020-06-24,5
"West Tisbury",256,"7",2020-06-24,7
"Westborough",1958,"336",2020-06-24,336
"Westfield",3425,"439",2020-06-24,439
"Westford",1908,"139",2020-06-24,139
"Westhampton",77,"6",2020-06-24,6
"Westminster",642,"32",2020-06-24,32
"Weston",1167,"108",2020-06-24,108
"Westport",1482,"97",2020-06-24,97
"Westwood",1339,"126",2020-06-24,126
"Weymouth",5841,"715",2020-06-24,715
"Whately",46,"5",2020-06-24,5
"Whitman",1381,"187",2020-06-24,187
"Wilbraham",1262,"223",2020-06-24,223
"Williamsburg",292,"10",2020-06-24,10
"Williamstown",720,"82",2020-06-24,82
"Wilmington",2234,"327",2020-06-24,327
"Winchendon",1067,"88",2020-06-24,88
"Winchester",2085,"118",2020-06-24,118
"Windsor",50,"0",2020-06-24,0
"Winthrop",1906,"253",2020-06-24,253
"Woburn",4445,"621",2020-06-24,621
"Worcester",27250,"5165",2020-06-24,5165
"Worthington",69,"0",2020-06-24,0
"Wrentham",1453,"191",2020-06-24,191
"Yarmouth",2037,"113",2020-06-24,113
"Unknown",32193,"259",2020-06-24,259
"State",790223,"102762",2020-06-24,102762
