"town","tests_total","tests_pos","dt","tests_posn"
"New Bedford",12662,"1256",2020-12-10,1256
"New Braintree",80,"7",2020-12-10,7
"New Marlborough",72,"2",2020-12-10,2
"New Salem",62,"1",2020-12-10,1
"Newbury",610,"32",2020-12-10,32
"Newburyport",2692,"131",2020-12-10,131
"Newton",24946,"333",2020-12-10,333
"Norfolk",1078,"124",2020-12-10,124
"North Adams",1757,"29",2020-12-10,29
"North Andover",5217,"264",2020-12-10,264
"North Attleborough",2844,"185",2020-12-10,185
"North Brookfield",402,"33",2020-12-10,33
"North Reading",2352,"114",2020-12-10,114
"Northampton",4139,"53",2020-12-10,53
"Northborough",2405,"134",2020-12-10,134
"Northbridge",2175,"103",2020-12-10,103
"Northfield",227,"1",2020-12-10,1
"Norton",1976,"123",2020-12-10,123
"Norwell",1248,"37",2020-12-10,37
"Norwood",3396,"185",2020-12-10,185
"Oak Bluffs",441,"18",2020-12-10,18
"Oakham",181,"5",2020-12-10,5
"Orange",605,"15",2020-12-10,15
"Orleans",341,"13",2020-12-10,13
"Otis",105,"3",2020-12-10,3
"Oxford",1043,"70",2020-12-10,70
"Palmer",1142,"73",2020-12-10,73
"Paxton",492,"24",2020-12-10,24
"Peabody",8454,"752",2020-12-10,752
"Pelham",59,"6",2020-12-10,6
"Pembroke",1414,"82",2020-12-10,82
"Pepperell",858,"42",2020-12-10,42
"Peru",16,"0",2020-12-10,0
"Petersham",78,"1",2020-12-10,1
"Phillipston",88,"4",2020-12-10,4
"Pittsfield",5978,"482",2020-12-10,482
"Plainfield",40,"2",2020-12-10,2
"Plainville",855,"40",2020-12-10,40
"Plymouth",5835,"269",2020-12-10,269
"Plympton",189,"7",2020-12-10,7
"Princeton",428,"23",2020-12-10,23
"Provincetown",262,"3",2020-12-10,3
"Quincy",11189,"600",2020-12-10,600
"Randolph",3973,"308",2020-12-10,308
"Raynham",1676,"111",2020-12-10,111
"Reading",3411,"138",2020-12-10,138
"Rehoboth",1088,"121",2020-12-10,121
"Revere",9839,"1001",2020-12-10,1001
"Richmond",117,"2",2020-12-10,2
"Rochester",537,"43",2020-12-10,43
"Rockland",1696,"95",2020-12-10,95
"Rockport",585,"14",2020-12-10,14
"Rowe",30,"1",2020-12-10,1
"Rowley",658,"31",2020-12-10,31
"Royalston",98,"1",2020-12-10,1
"Russell",128,"6",2020-12-10,6
"Rutland",986,"58",2020-12-10,58
"Salem",9586,"492",2020-12-10,492
"Salisbury",827,"64",2020-12-10,64
"Sandisfield",95,"4",2020-12-10,4
"Sandwich",1681,"37",2020-12-10,37
"Saugus",4531,"438",2020-12-10,438
"Savoy",54,"0",2020-12-10,0
